1月,,2月,,3月,,4月,,5月,,6月,,7月,,8月,,9月,,10月,,11月,,12月,
金額,勘定科目,金額,勘定科目,金額,勘定科目,金額,勘定科目,金額,勘定科目,金額,勘定科目,金額,勘定科目,金額,勘定科目,金額,勘定科目,金額,勘定科目,金額,勘定科目,金額,勘定科目
"¥1,720",会議費,"¥1,600",旅費交通費,"¥4,796",交際費,"¥7,720 ",交際費,"¥2,976 ",会議費,"¥8,668 ",交際費,"¥9,720 ",旅費交通費,"¥11,990 ",交際費,,,"¥1,500 ",旅費交通費,"¥6,380 ",雑費,4200,旅費交通費
"¥2,387",会議費,"¥3,355",会議費,"¥13,600",消耗品,"¥4,180 ",会議費,"¥2,830 ",会議費,"¥1,460 ",会議費,"¥1,700 ",旅費交通費,"¥2,180 ",会議費,,,"¥1,240 ",旅費交通費,"¥18,315 ",交際費,,
,,"¥2,000",会議費,"¥11,000",消耗品,"¥1,441 ",事務用品,"¥1,580 ",会議費,¥890 ,会議費,"¥4,860 ",会議費,"¥3,560 ",会議費,,,"¥1,640 ",旅費交通費,"¥4,140 ",旅費交通費,,
,,"¥2,534",事務用品,,,"¥1,300 ",会議費,"¥1,540 ",旅費交通費,"¥2,980 ",旅費交通費,"¥12,210 ",交際費,"¥6,435 ",会議費,,,,,"¥2,530 ",旅費交通費,,
,,"¥2,860",会議費,,,"¥2,860 ",会議費,¥880 ,旅費交通費,"¥3,400 ",会議費,"¥3,680 ",会議費,"¥3,713 ",交際費,,,,,¥780 ,旅費交通費,,
,,,,,,"¥3,300 ",会議費,¥950 ,会議費,"¥13,090 ",交際費,"¥32,000 ",交際費,,,,,,,,,,
,,,,,,"¥10,900 ",交際費,,,"¥7,766 ",交際費,"¥3,400 ",会議費,,,,,,,,,,
,,,,,,"¥2,398 ",会議費,,,"¥12,298 ",交際費,"¥45,050 ",交際費,,,,,,,,,,
,,,,,,"¥3,440 ",会議費,,,,,"¥7,073 ",交際費,,,,,,,,,,
,,,,,,"¥1,950 ",会議費,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
